month_start,atc_level3,total_rx_atc3,known_status_rx_atc3,status_coverage_atc3,filled_rx_atc3,refill_adherence_atc3,unique_patients_atc3,pct_female_atc3,median_age_atc3,pct_admin_visits_atc3,low_coverage_flag_atc3
2023-05-01,S01A,3,3,100.0,3,100.0,3,366.67,0.0,,0
2023-05-01,S01E,2,2,100.0,2,100.0,2,2875.0,2.0,,0
2023-05-01,S01G,1,1,100.0,1,100.0,1,7400.0,0.0,,0
2023-05-01,S03A,2,0,0.0,0,,2,1525.0,2.0,0.0,1
2023-05-01,V06C,3,2,66.67,2,100.0,3,33.33,2.0,0.0,1
2023-05-01,V06D,2,1,50.0,1,100.0,2,25.0,1.0,0.0,1
2023-06-01,A02B,50,33,66.0,31,93.94,47,110.0,39.0,0.0,1
2023-06-01,A03A,4,3,75.0,2,66.67,4,1087.5,4.0,0.0,0
2023-06-01,A03F,2,1,50.0,1,100.0,2,2350.0,2.0,0.0,1
2023-06-01,A05B,1,1,100.0,1,100.0,1,6300.0,1.0,,0
2023-06-01,A06A,1,1,100.0,1,100.0,1,5900.0,0.0,,0
2023-06-01,A07D,1,1,100.0,0,0.0,1,6900.0,0.0,,0
2023-06-01,A10A,5,5,100.0,4,80.0,5,1340.0,2.0,,0
2023-06-01,A10B,23,14,60.87,14,100.0,22,273.91,16.0,12.5,1
2023-06-01,A11C,9,6,66.67,4,66.67,9,666.67,8.0,0.0,1
2023-06-01,A11D,1,0,0.0,0,,1,3900.0,1.0,0.0,1
2023-06-01,A11E,1,0,0.0,0,,1,5200.0,0.0,0.0,1
2023-06-01,A11G,1,1,100.0,1,100.0,1,6000.0,1.0,,0
2023-06-01,A12A,2,1,50.0,0,0.0,2,2675.0,2.0,,1
2023-06-01,A12B,6,2,33.33,2,100.0,6,958.33,6.0,0.0,1
2023-06-01,A12C,8,3,37.5,2,66.67,8,725.0,7.0,0.0,1
2023-06-01,A16A,1,0,0.0,0,,1,6800.0,1.0,,1
2023-06-01,B01A,34,26,76.47,22,84.62,29,189.71,19.0,0.0,0
2023-06-01,B02A,1,1,100.0,1,100.0,1,2400.0,1.0,,0
2023-06-01,B03A,6,1,16.67,1,100.0,5,400.0,5.0,0.0,1
2023-06-01,B03B,1,1,100.0,0,0.0,1,6500.0,1.0,,0
2023-06-01,C01B,1,1,100.0,1,100.0,1,5900.0,0.0,,0
2023-06-01,C01D,4,3,75.0,2,66.67,4,1825.0,3.0,,0
2023-06-01,C01E,8,6,75.0,5,83.33,8,837.5,5.0,0.0,0
2023-06-01,C02A,15,8,53.33,7,87.5,12,406.67,12.0,0.0,1
2023-06-01,C02C,6,3,50.0,3,100.0,5,1208.33,3.0,0.0,1
2023-06-01,C03B,11,3,27.27,3,100.0,11,545.45,9.0,0.0,1
2023-06-01,C03C,8,5,62.5,5,100.0,8,718.75,8.0,0.0,1
2023-06-01,C03D,2,2,100.0,2,100.0,2,3200.0,2.0,,0
2023-06-01,C03E,2,2,100.0,2,100.0,2,3300.0,2.0,,0
2023-06-01,C04A,3,3,100.0,2,66.67,3,2266.67,2.0,,0
2023-06-01,C05A,1,0,0.0,0,,1,5800.0,1.0,0.0,1
